name	alternative-name	funding-programme	area	region	discipline	funded-2012-15	funding-2012-13	funding-2013-14	funding-2014-15	funding-total	grant-2015-16	grant-2016-17	grant-2107-18	grant-total	funding-source	cash-change-2014-15--2015-16	cash-change-2012-15--2015-18	real-change-2014-15--2015-16	real-change-2012-15--2015-18	notes	local-authority-name	website
Camden Arts Centre	n/a	NPO	London	London	Visual arts	Yes	917055	918642.964932	919673.31444261	2755371.27937461	919673	919673	919673	2759019	GIA	-3.4190685440238315E-7	1.3238581140389038E-3	-1.3807043300645432E-2	-4.6598604374386371E-2		Camden	www.camdenartscentre.org
Camden People's Theatre	CPT	NPO	London	London	Theatre	No	0	0	0	0	7e4	7e4	7e4	21e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Camden	www.cptheatre.co.uk
Candoco Dance Company	n/a	NPO	London	London	Dance	Yes	4e5	396579.645	398188.910729988	1194768.555729988	398189	398189	398189	1194567	LOT	2.2419010068331902E-7	-1.686985559013839E-4	-1.3806485019624677E-2	-4.8069246449019387E-2		Islington	www.candoco.co.uk
Canterbury Festival	Canterbury Theatre & Festival Trust	NPO	South East	South East	Combined arts	Yes	15e4	146881.35	143740.13094	440621.48094	143740	143740	143740	431220	GIA	-9.1094949716857471E-7	-2.1336864739193665E-2	-1.3807604486683583E-2	-6.8469852381171606E-2		Canterbury	www.canterburyfestival.co.uk
Cape UK	n/a	NPO (Bridge)	North	Yorkshire	Not artform specific	Yes	1018e3	1045e3	1028221.0699908	3091221.0699907998	1024721	1024721	1024721	3074163	LOT	-3.4040053184587163E-3	-5.5182303706446112E-3	-1.7163713331813473E-2	-5.3065153556171092E-2		Leeds	www.capeuk.org
Carcanet Press Ltd	Carcanet Press and PN Review	NPO	North	North West	Literature	Yes	12e4	120207.69683999999	120695.71314769919	360903.4099876992	120696	120696	120696	362088	GIA	2.3766569112221718E-6	3.282290993984215E-3	-1.3804362271290732E-2	-4.4714492832098773E-2		Manchester	www.carcanet.co.uk or www.pnreview.co.uk
Cardboard Citizens	n/a	NPO	London	London	Theatre	Yes	159434	159708.9879	160358.4066117432	479501.3945117432	16e4	16e4	16e4	48e4	LOT	-2.2350347531886862E-3	1.0398415812001838E-3	-1.6010882399594487E-2	-4.6849661440910545E-2		Tower Hamlets	www.cardboardcitizens.org.uk
Carnival Village Trust	n/a	NPO	London	London	Combined arts	Yes	45e4	450778.86315	452607.96603633236	1353386.8291863324	4e5	4e5	4e5	12e5	GIA	-0.1162329653564015	-0.11333554153068703	-0.12843487707731902	-0.15575336865971748		Kensington and Chelsea	www.carnivalvillage.org.uk
Carousel	Carousel Project	NPO	South East	South East	Combined arts	Yes	18e4	176257.62	172488.157128	528745.777128	197488	197488	197488	592464	GIA	0.14493657586849934	0.12050823974065497	0.12912877304585746	6.6543909100616708E-2		Brighton and Hove	http://www.carousel.org.uk
Castlefield Gallery	n/a	NPO	North	North West	Visual arts	No	0	0	0	0	7e4	7e4	7e4	21e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Manchester	www.castlefieldgallery.co.uk
