name	alternative-name	funding-programme	area	region	discipline	funded-2012-15	funding-2012-13	funding-2013-14	funding-2014-15	funding-total	grant-2015-16	grant-2016-17	grant-2107-18	grant-total	funding-source	cash-change-2014-15--2015-16	cash-change-2012-15--2015-18	real-change-2014-15--2015-16	real-change-2012-15--2015-18	notes	local-authority-name	website
Dance City	Dance North Limited	NPO	North	North East	Dance	Yes	500127	551617.80597	553856.5977353891	1605601.4037053892	553857	553857	553857	1661571	GIA	7.2629740714293739E-7	3.485896073922503E-2	-1.3805989844766163E-2	-1.3995260158114481E-2		Newcastle upon Tyne	www.dancecity.co.uk
Dance Consortium Limited	Dance Consortium; Dance Touring Consortium (Former Name of Company No 06179223)	NPO	Midlands	West Midlands	Dance	Yes	488521.2	489366.552213	491352.6391974396	1469240.3914104397	489367	489367	489367	1468101	LOT	-4.0411692927565792E-3	-7.7549692827730472E-4	-1.7792080170371267E-2	-4.8578168138055801E-2		Birmingham	danceconsortium.com
Dance Manchester Ltd	Former name: Dance Initiative Greater Manchester	NPO	North	North West	Dance	Yes	172e3	170432.305659	169004.854621554	511437.160280554	95e3	95e3	95e3	285e3	GIA	-0.43788596953188236	-0.44274678859146566	-0.44564691275333557	-0.46949190857358586		Manchester	www.dancemanchester.org.uk /www.urbanmovesfestival.co.uk
Dance Umbrella Ltd	n/a	NPO	London	London	Dance	Yes	35e4	350605.78245	352028.2050799164	1052633.9875299165	352028	352028	352028	1056084	GIA	-5.8256671891508136E-7	3.2775043471465837E-3	-1.3807280637789876E-2	-4.4719068527819969E-2		Southwark	www.danceumbrella.co.uk
Dance United Yorkshire	n/a	NPO	North	Yorkshire	Dance	No	0	0	0	0	9e4	9e4	9e4	27e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Bradford	www.dance-united.com
DanceEast	n/a	NPO	South East	East	Dance	Yes	840500	817639.515	800153.395566	2458292.9105660003	810153	810153	810153	2430459	GIA	1.2497109291058642E-2	-1.1322454881746274E-2	-1.482140738600922E-3	-5.8981328973420573E-2		Ipswich	www.danceeast.co.uk
Dancefest	n/a	NPO	Midlands	West Midlands	Dance	Yes	85e3	85147.11859499999	85492.79681295359	255639.9154079536	85493	85493	85493	256479	GIA	2.3766569113072778E-6	3.2822909939841292E-3	-1.3804362271290586E-2	-4.4714492832098642E-2		Worcester	www.dancefest.co.uk
Darbar Arts Culture and Heritage Trust	Darbar	NPO	Midlands	East Midlands	Music	Yes	106100	106283.34486000001	106714.58974493519	319097.93460493523	126715	126715	126715	380145	GIA	0.1874196424581584	0.19131137740093854	0.17102528842027434	0.13431928748087035		Leicester	www.darbar.org
Darts (Doncaster Community Arts)	n/a	NPO	North	Yorkshire	Combined arts	Yes	13e4	130352.30208	130881.13882610759	391233.4409061076	130881	130881	130881	392643	GIA	-1.0607036952527451E-6	3.6028594350928219E-3	-1.3807752173269421E-2	-4.440274610731227E-2		Doncaster	www.thepoint.org.uk
DASH	Disability Arts in Shropshire	NPO	Midlands	West Midlands	Visual arts	Yes	7e4	70121.15649	70405.8326694912	210526.9891594912	70406	70406	70406	211218	GIA	2.3766569112221718E-6	3.2822909939841456E-3	-1.3804362271290876E-2	-4.4714492832098822E-2		Shropshire	www.dasharts.org
Dash Arts Ltd	Dash Arts	NPO	London	London	Combined arts	Yes	9e4	90155.77263	90521.78486077441	270677.55749077443	9e4	9e4	9e4	27e4	LOT	-5.7641910350854433E-3	-2.5031905011095117E-3	-1.9491312657875175E-2	-5.0223198282062974E-2		Tower Hamlets	www.dasharts.org.uk
De La Warr Pavilion	De La Warr Pavilion Charitable Trust	NPO	South East	South East	Visual arts	Yes	505500	506375.41254299995	508429.92502065125	1520305.3375636511	508430	508430	508430	1525290	GIA	1.4747233602626989E-7	3.2787245516989164E-3	-1.3806560678169617E-2	-4.4717898593993541E-2		Rother	www.dlwp.com
Deafinitely Theatre	n/a	NPO	London	London	Theatre	Yes	161176	161454.91754700002	162110.119674132	484741.03722113196	162110	162110	162110	486330	GIA	-7.3822739901977605E-7	3.2779621630078227E-3	-1.3807434149308677E-2	-4.4718627502193617E-2		Camden	www.deafinitelytheatre.co.uk
Deda	n/a	NPO	Midlands	East Midlands	Dance	Yes	237e3	237410.201259	238373.841813198	712784.043072198	238374	238374	238374	715122	GIA	6.6360805697898817E-7	3.2800354476582127E-3	-1.3806051668582899E-2	-4.4716645802181924E-2		Derby	www.deda.uk.com
Dedalus Ltd	n/a	NPO	London	London	Literature	Yes	4e4	39168.36	38330.701584	117499.06158400001	4e4	4e4	4e4	12e4	GIA	4.3549905089574362E-2	2.1284752254911166E-2	2.9141918234294097E-2	-2.7900917331124094E-2	Standstill - adjusted to meet NPO minimum grant of £40k.	Huntingdonshire	www.dedalusbooks.com
Derby Museums	n/a	MPM	Midlands	East Midlands	n/a (MPM)	No	0	0	0	0	854066	854066	854066	2562198	GIA	NEW	NEW	NEW	NEW	New organisation to the MPM portfolio	Derby	www.derbymuseums.org
Derby Quad Limited	QUAD	NPO	Midlands	East Midlands	Combined arts	Yes	475e3	475822.133325	477752.9062754364	1428575.0396004366	457753	457753	457753	1373259	GIA	-4.1862448166680451E-2	-3.8721129844119441E-2	-5.5091171762012163E-2	-8.4708492842799285E-2		Derby	www.derbyquad.co.uk
Design Museum Ltd	Design Museum Enterprises	NPO	London	London	Visual arts	No	0	0	0	0	17e4	17e4	17e4	51e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Southwark	www.designmuseum.org
Devon Guild Of Craftsmen (The)	DGC	NPO	South West	South West	Visual arts	Yes	154661	154928.489562	155557.4862383472	465146.9758003472	155557	155557	155557	466671	GIA	-3.1257791505245114E-6	3.2764357911399733E-3	-1.3809788736834923E-2	-4.4720075574739719E-2		Teignbridge	www.crafts.org.uk
Doncaster Performance Venue Limited	Cast	NPO	North	Yorkshire	Combined arts	Yes	108750	144825.0111	144562	398137.0111	32e4	32e4	32e4	96e4	GIA	1.213583099293037	1.4112302379214803	1.1830208079812983	1.3001315689273729		Doncaster	www.castindoncaster.com
Donmar Warehouse Projects Ltd	n/a	NPO	London	London	Theatre	Yes	501711	502579.01925	504618.89501566195	1508908.914265662	504619	504619	504619	1513857	GIA	2.0804678358861917E-7	3.2792474665351884E-3	-1.3806500940055642E-2	-4.4717401691599136E-2		Camden	www.donmarwarehouse.com
Drake Music	n/a	NPO	London	London	Music	Yes	163100	163382.000859	164044.8618365844	490526.8626955844	194045	194045	194045	582135	GIA	0.18287764595334086	0.18675457813054894	0.1665460019263717	0.12998048922925615		Tower Hamlets	www.drakemusic.org
dreamthinkspeak	n/a	NPO	South East	South East	Theatre	Yes	157500	154225.4175	150927.137487	462652.55498699995	150927	150927	150927	452781	GIA	-9.1094949714929137E-7	-2.133686473919361E-2	-1.3807604486683502E-2	-6.8469852381171661E-2		Brighton and Hove	www.dreamthinkspeak.com
Duckie	n/a	NPO	London	London	Theatre	Yes	141671	141915.781161	142492.46660344081	426079.24776444084	142492	142492	142492	427476	GIA	-3.2745832249028127E-6	3.278151289666572E-3	-1.380993548641523E-2	-4.4718429388769937E-2		Lambeth	www.duckie.co.uk
Durham County Council	Durham Arts Festivals Hub (formally the Gala Arts Festival Hub)	NPO	North	North East	Combined arts	Yes	2e5	195841.8	224608.32860684404	620450.128606844	415e3	415e3	415e3	1245e3	GIA	0.84766078165524683	1.0066076910895603	0.82215067224383298	0.91210869857998478		County Durham	www.durham.gov.uk
DV8 Physical Theatre	DV8	NPO	London	London	Dance	Yes	432066.2	423082.91579400003	414034.8227648136	1269183.9385588137	414035	414035	414035	1242105	LOT	4.2806830886232062E-7	-2.133570851011744E-2	-1.3806283956302894E-2	-6.8468754875749244E-2		Tower Hamlets	www.dv8.co.uk
East London Dance	n/a	NPO	London	London	Dance	Yes	24e4	240415.39367999998	241391.42629539839	721806.8199753984	241391	241391	241391	724173	GIA	-1.7659922927983064E-6	3.2781347572779693E-3	-1.3808447724154555E-2	-4.4718450235439217E-2		Newham	www.eastlondondance.org
East Midlands Jazz CIC	EMJAZZ	NPO	Midlands	East Midlands	Music	Yes	77e3	77133.272139	77446.2242829324	231579.49642193242	77446	77446	77446	232338	GIA	-2.8959827863993954E-6	3.2753485942710872E-3	-1.3809562113201505E-2	-4.4721119509875472E-2		Wellingborough	www.emjazz.co.uk
East Street Arts	n/a	NPO	North	Yorkshire	Visual arts	Yes	19e4	190514.90304	184960.00915589402	565474.912195894	184960	184960	184960	554880	GIA	-4.9502019708269805E-8	-1.873630813213464E-2	-1.3806754932958366E-2	-6.5890136842744987E-2		Leeds	www.EastStreetArts.org.uk
Eastern Angles Theatre Company	Eastern Angles	NPO	South East	East	Theatre	Yes	23e4	225218.07	220401.53410800002	675619.604108	220402	220402	220402	661206	GIA	2.1138328363451647E-6	-2.1333904493535085E-2	-1.380462146663072E-2	-6.8467034702671153E-2		Ipswich	www.easternangles.co.uk
Eastside Educational Trust	n/a	NPO	London	London	Literature	Yes	53e3	51898.077	50788.1795988	155686.25659879998	50788	50788	50788	152364	GIA	-3.5362322772738633E-6	-2.1339434009010606E-2	-1.3810193522955832E-2	-6.8472297913455132E-2		Hackney	www.eastside.org.uk
Eclipse Theatre Company Ltd	n/a	NPO	North	Yorkshire	Theatre	Yes	15e4	150406.5024	151017.2146357224	451423.7170357224	151017	151017	151017	453051	LOT	-1.4212665947726325E-6	3.6047795072956562E-3	-1.3808107757983117E-2	-4.4400895226196772E-2		Sheffield	www.eclipsetheatre.org.uk
Eden Arts	n/a	NPO	North	North West	Combined arts	Yes	4e4	39168.36	38330.701584	117499.06158400001	1e5	1e5	1e5	3e5	GIA	1.6088747627239359	1.5532118806372779	1.5728547955857355	1.4302477066721901		Eden	www.edenarts.co.uk
EMCCAN C.I.C.	EMCCAN - East Midlands Caribbean Carnival Arts Network	NPO	Midlands	East Midlands	Combined arts	Yes	125e3	125216.350875	125724.70119552	375941.05207052	150725	150725	150725	452175	GIA	0.19884953844989409	0.20278165289376227	0.18229737519713432	0.1452408675114886		Derby	www.emccan.org
Emergency Exit Arts	EEA	NPO	London	London	Theatre	Yes	117245	117448.285878	117924.403423176	352617.689301176	117924	117924	117924	353772	GIA	-3.4210321552683699E-6	3.2735473399296468E-3	-1.3810079913367876E-2	-4.4722836973852258E-2		Greenwich	www.eea.org.uk
Engage	National Association for Gallery Education (Engage)	NPO	London	London	Visual arts	Yes	233608	231759.18612	229805.9717416344	695173.1578616344	229806	229806	229806	689418	GIA	1.2296619358448839E-7	-8.2787400470659186E-3	-1.3806584845963105E-2	-5.5868279808187329E-2		Tower Hamlets	www.engage.org
English Folk Dance And Song Society	n/a	NPO	London	London	Music	Yes	3e5	300519.2421	301738.3246017084	902257.5667017084	432046	432046	432046	1296138	GIA	0.43185656170887959	0.43654988091500352	0.41208733896339222	0.36782564951485919		Camden	www.efdss.org
English National Ballet	n/a	NPO	London	London	Dance	Yes	6100402.6	6110962.336017001	6141000.989741764	18352365.925758764	6214e3	6214e3	6214e3	18642e3	LOT	1.1887151684257529E-2	1.578183845139635E-2	-2.0836768399826885E-3	-3.2807202059101183E-2	Technical uplift - In context of the opera and ballet analysis.	Westminster	www.ballet.org.uk
English PEN	n/a	NPO	London	London	Literature	Yes	23e4	225218.07	229984.209504	685202.279504	229984	229984	229984	689952	GIA	-9.1094949714326526E-7	6.9318515686174051E-3	-1.3807604486683479E-2	-4.128000071359144E-2		Islington	www.englishpen.org
English Stage Company Ltd	n/a	NPO	London	London	Theatre	Yes	2297916	2301893.1825119997	2311233.979550765	6911043.162062765	2311234	2311234	2311234	6933702	GIA	8.8477563435611717E-9	3.2786422260560493E-3	-1.3806697388800571E-2	-4.4717979777945477E-2		Kensington and Chelsea	www.royalcourttheatre.com
English Touring Opera	ETO	NPO	London	London	Music	Yes	1577015	1729533.7715039998	1743322.4718120624	5049871.243316062	1743322	1743322	1743322	5229966	LOT	-2.7063958049064268E-7	3.5663237339429013E-2	-1.3806973017337859E-2	-1.3240254577200379E-2		Islington	www.englishtouringopera.org.uk
English Touring Theatre	ETT	NPO	London	London	Theatre	Yes	675876.4	677046.645198	679794.0343247004	2032717.0795227005	679794	679794	679794	2039382	LOT	-5.0492794330192688E-8	3.2788234744721414E-3	-1.3806755910053529E-2	-4.4717802552132535E-2		Southwark	www.ett.org.uk
Entelechy Arts Limited	n/a	NPO	London	London	Combined arts	Yes	6e4	60103.848419999995	60347.856573849596	180451.7049938496	80348	80348	80348	241044	GIA	0.33141431297854945	0.33578122749361444	0.31303186684275086	0.27187777440721361		Lewisham	www.entelechyarts.org
Ex Cathedra Limited	Ex Cathedra	NPO	Midlands	West Midlands	Music	Yes	47407	47488.698873	47681.4762354168	142577.1751084168	57681	57681	57681	173043	GIA	0.20971506241150659	0.21367953789529606	0.19301288206262965	0.15561733740537564		Birmingham	http://excathedra.co.uk/
Exeter City Council (Royal Albert Memorial Museum)	n/a	MPM	South West	South West	n/a (MPM)	Yes	1263596	1077128.920791	1054094.29356	3394819.2143510003	1031958	1031958	1031958	3095874	GIA	-2.1000297312338961E-2	-8.805924424112542E-2	-3.4517058493431008E-2	-0.13284396904487983		Exeter	www.exeter.gov.uk/RAMM
Exeter Northcott Theatre Company Ltd	Exeter Northcott Theatre Company/Exeter Northcott Theatre	NPO	South West	South West	Theatre	No	0	0	0	0	125e3	125e3	125e3	375e3	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Exeter	www.exeternorthcott.co.uk
Exeter Phoenix Ltd	n/a	NPO	South West	South West	Combined arts	Yes	125e3	125216.350875	125724.70119552	375941.05207052	125725	125725	125725	377175	GIA	2.3766569111642995E-6	3.2822909939841565E-3	-1.3804362271290711E-2	-4.471449283209894E-2		Exeter	www.exeterphoenix.org.uk
Extant	n/a	NPO	London	London	Theatre	Yes	83048	135233.658945	86960.86268362078	305242.5216286208	119e3	119e3	119e3	357e3	GIA	0.36843168671110527	0.16956182282608362	0.34953815257505449	0.11390438746227501	Technical uplift - Adjusted to include funding for the biennial.	Lambeth	www.extant.org.uk
Eye Music Trust	n/a	NPO	London	London	Music	Yes	101617	101792.69238600001	102204.98270357761	305614.6750895776	102205	102205	102205	306615	GIA	1.6923267273084212E-7	3.2731573185390329E-3	-1.3806539218271525E-2	-4.4723264425343634E-2		Croydon	www.colourscape.org.uk
Fabrica	n/a	NPO	South East	South East	Visual arts	Yes	185308	181455.261372	177574.64122819682	544337.9026001968	177575	177575	177575	532725	GIA	2.0203999889635789E-6	-2.1333995932901577E-2	-1.3804713609478289E-2	-6.8467121738264664E-2		Brighton and Hove	http://www.fabrica.org.uk
FACT (Foundation For Art & Creative Technology)	n/a	NPO	North	North West	Visual arts	Yes	1000112	1001843.416035	1005908.7685987536	3007864.1846337537	1005909	1005909	1005909	3017727	GIA	2.3004198155330821E-7	3.2790095432607431E-3	-1.380647924853883E-2	-4.4717627094100175E-2		Liverpool	www.fact.co.uk
Farnham Maltings Association Ltd	n/a	NPO	South East	South East	Combined arts	Yes	562071	681529.464	785779.382472	2029379.8464720002	785780	785780	785780	2357340	GIA	7.8587961685747403E-7	0.16160609562480185	-1.3805931085190468E-2	0.10854499087028299		Waverley	http://www.farnhammaltings.com
Fevered Sleep	n/a	NPO	London	London	Theatre	Yes	200000.2	200346.1614	201159.52191283202	601505.8833128321	201160	201160	201160	603480	LOT	2.3766569110774909E-6	3.281957403800155E-3	-1.3804362271290831E-2	-4.4714817148492673E-2		Lambeth	www.feveredsleep.co.uk
Fierce! (Festival) Limited	n/a	NPO	Midlands	West Midlands	Combined arts	Yes	1e5	133466.1867	130611.86564748	364078.05234747997	130612	130612	130612	391836	GIA	1.0286394680937761E-6	7.6241749464281222E-2	-1.3805691677053257E-2	2.6528211607655238E-2		Birmingham	www.wearefierce.org
Film and Video Umbrella	FVU	NPO	London	London	Visual arts	Yes	377135	377787.645081	379320.62287526403	1134243.2679562639	379321	379321	379321	1137963	GIA	9.9421100047368796E-7	3.2794834660456462E-3	-1.3805725630177049E-2	-4.4717181065876493E-2		Southwark	www.fvu.co.uk
Film London	n/a	NPO	London	London	Visual arts	Yes	320049	320602.81869000004	321904.1067050508	962555.9253950509	321904	321904	321904	965712	GIA	-3.3148086208429254E-7	3.2788480354050981E-3	-1.3807033018601464E-2	-4.471777959416056E-2		Hackney	www.filmlondon.org.uk
First Movement Limited	First Movement	NPO	Midlands	East Midlands	Combined arts	Yes	138e3	138238.85136600002	138800.261773362	415039.113139362	138800	138800	138800	416400	GIA	-1.8859716736450303E-6	3.2789364123882573E-3	-1.3808566047015476E-2	-4.4717677780125607E-2		Derbyshire Dales	www.first-movement.org.uk
Focal Point Gallery	Southend Borough Council	NPO	South East	East	Visual arts	Yes	106e3	103796.154	186383.0364522	396179.1904522	186384	186384	186384	559152	GIA	5.1697183302693345E-6	0.41136135737412755	-1.3801607772849774E-2	0.34947737938134316		Southend-on-Sea	www.focalpoint.org.uk
Forced Entertainment Ltd	n/a	NPO	North	Yorkshire	Theatre	Yes	253433.8	254120.402844	255393.63158403357	762947.8344280336	255394	255394	255394	766182	LOT	1.4425417115580397E-6	4.2390389303497127E-3	-1.3805283489436273E-2	-4.3790705635989399E-2		Sheffield	www.forcedentertainment.com
Forma	n/a	NPO	London	London	Visual arts	Yes	258181	258627.701871	259677.08748604564	776485.7893570457	259677	259677	259677	779031	GIA	-3.3690321501121686E-7	3.277858626442923E-3	-1.3807038366089659E-2	-4.4718732209499755E-2		Hackney	www.forma.org.uk
Forward Arts Foundation	National Poetry Day and the Forward Prizes for Poetry	NPO	London	London	Literature	Yes	5e4	48960.45	47913.37698	146873.82698	47914	47914	47914	143742	GIA	1.3003049237359084E-5	-2.132324760916373E-2	-1.3793882594440639E-2	-6.8456891060069303E-2		Westminster	www.forwardartsfoundation.org
Foundation For Community Dance	FCD	NPO	Midlands	East Midlands	Dance	Yes	189e3	189327.122523	190095.36490061038	568422.4874236104	190095	190095	190095	570285	GIA	-1.9195660587061558E-6	3.2766342247145751E-3	-1.3808599177572737E-2	-4.4719892346514252E-2		Leicester	www.communitydance.org.uk
Frantic Theatre Company Ltd	n/a	NPO	London	London	Theatre	Yes	196096.2	196435.20065400001	221189.23002555122	613720.6306795513	221189	221189	221189	663567	GIA	-1.0399491476013086E-6	8.1219966917611339E-2	-1.3807731705273718E-2	3.0328997786482122E-2		Camden	www.franticassembly.co.uk
Free Word	Free Word Centre	NPO	London	London	Literature	Yes	23e4	235010.16	239566.8849	704577.0449000001	239567	239567	239567	718701	GIA	4.8045037628419118E-7	2.0046005191674252E-2	-1.3806232297459305E-2	-2.8516092118428572E-2		Islington	www.freewordcentre.com
Freedom Festival Ltd	n/a	NPO	North	Yorkshire	Combined arts	Yes	0	52713	96961	149674	166666	166666	166666	499998	GIA	0.71889728860057134	2.3405801942889211	0.6951649788960268	2.2243046548527627	This organisations has only been NPO funded by Arts Council England since 2013/14 - therefore they show a large increase when comparing 12/15 to 15/18.	Kingston upon Hull, City of	www.freedomfestival.co.uk
Freedom Studios	Formerly Asian Theatre School	NPO	North	Yorkshire	Combined arts	Yes	14e4	140379.40224	140948.6975971452	421328.0998371452	140949	140949	140949	422847	GIA	2.1454817246633096E-6	3.6050293427898838E-3	-1.3804590254709313E-2	-4.440069039495334E-2		Bradford	www.freedomstudios.co.uk
Fuel	Fuel Theatre Services Ltd	NPO	London	London	Theatre	Yes	2e5	200346.1614	201159.52191283202	601505.683312832	201160	201160	201160	603480	GIA	2.3766569110774909E-6	3.2822909939841179E-3	-1.3804362271290831E-2	-4.4714492832098711E-2		Westminster	www.fueltheatre.com
Furtherfield.org	Furtherfield	NPO	London	London	Visual arts	Yes	77936	78071.354361	78388.2012743592	234395.5556353592	78388	78388	78388	235164	GIA	-2.5676614073767631E-6	3.2784084261232539E-3	-1.3809238324859561E-2	-4.4718158984613954E-2		Haringey	www.furtherfield.org
Future Everything CIC	Futuresonic	NPO	North	North West	Combined arts	Yes	85e3	83232.765	81452.74086600001	249685.50586600002	81453	81453	81453	244359	GIA	3.1814030717386864E-6	-2.1332859700949659E-2	-1.380356863602405E-2	-6.8466040227906477E-2		Manchester	www.futureeverything.org
Gate Theatre	n/a	NPO	London	London	Theatre	Yes	304565	305092.14813	306330.3426514716	915987.4907814716	306330	306330	306330	918990	GIA	-1.1185684991117467E-6	3.2778932559076987E-3	-1.3807809239151101E-2	-4.4718688972997162E-2		Kensington and Chelsea	www.gatetheatre.co.uk
Gecko Theatre Ltd	n/a	NPO	South East	East	Theatre	Yes	23e4	225218.07	220401.53410800002	675619.604108	220402	220402	220402	661206	LOT	2.1138328363451647E-6	-2.1333904493535085E-2	-1.380462146663072E-2	-6.8467034702671153E-2		Ipswich	www.geckotheatre.com
Gem Arts	Gateshead Visible Ethnic Minority Support Group	NPO	North	North East	Combined arts	Yes	7e4	73440.675	73786.6005492	217227.27554919999	12e4	12e4	12e4	36e4	GIA	0.62631154039933679	0.6572504492810034	0.60385753491058869	0.57848198322229727		Gateshead	www.gemarts.org
Generator North East	n/a	NPO	North	North East	Music	Yes	155e3	155420.05247999998	156050.9940212412	466471.04650124116	156051	156051	156051	468153	GIA	3.8312853010756144E-8	3.6056975269404337E-3	-1.3806668330519899E-2	-4.440002654659967E-2		Newcastle upon Tyne	www.generator.org.uk
Gloucestershire Everyman Theatre Company Ltd	Everyman Theatre Cheltenham	NPO	South West	South West	Combined arts	Yes	375371.2	376021.152045	377546.86965946434	1128939.2217044644	377547	377547	377547	1132641	GIA	3.4523007905457184E-7	3.2789881194371789E-3	-1.380636565080957E-2	-4.4717647945311897E-2		Cheltenham	www.everymantheatre.org.uk
Glyndebourne Productions Limited	Glyndebourne Touring Opera and Glyndebourne Education	NPO	South East	South East	Music	Yes	17e5	1664655.3	1629054.81732	4993710.117319999	1629055	1629055	1629055	4887165	LOT	1.1213864514756798E-7	-2.1335863479632532E-2	-1.3806595524018691E-2	-6.8468899342855341E-2		Lewes	http://www.glyndebourne.com
Graeae Theatre Company	n/a	NPO	London	London	Theatre	Yes	561147	562117.864077	564399.4572060684	1687664.3212830685	564399	564399	564399	1693197	GIA	-8.100753156414443E-7	3.2783051979941142E-3	-1.3807505005242368E-2	-4.4718298015020461E-2		Hackney	www.graeae.org
Great Georges Community Cultural Project Ltd	The Black-E	NPO	North	North West	Combined arts	Yes	17e4	170294.23718999999	170985.59362590718	511279.8308159072	11e4	11e4	11e4	33e4	GIA	-0.35667094714034925	-0.35456088797130608	-0.36555320230803673	-0.38543854006486417		Liverpool	www.theblack-e.co.uk
Great North Run Culture	Great North Run Foundation	NPO	North	North East	Combined arts	Yes	1e5	100271.0016	100677.5042454552	300948.5058454552	100678	100678	100678	302034	GIA	4.9241838930487647E-6	3.6069099313030288E-3	-1.380184991726522E-2	-4.4398908775866421E-2		Newcastle upon Tyne	www.greatnorthrunculture.org
Greater Manchester Arts Centre Ltd	n/a	NPO	North	North West	Combined arts	Yes	87e4	915560.415	985841.68805199	2771402.1030519903	1297513	1297513	1297513	3892539	GIA	0.31614742582439209	0.40453779540448653	0.29797576511281293	0.33845897401668656		Manchester	http://homemcr.org
Greentop Community Circus Centre	Greentop Circus	NPO	North	Yorkshire	Theatre	Yes	7e4	70189.70112	70474.82793234239	210664.52905234238	70475	70475	70475	211425	GIA	2.4415477505390954E-6	3.6098670767145402E-3	-1.3804298276380246E-2	-4.4396038992142159E-2		Sheffield	www.greentop.org
Greenwich Dance Agency	GDA	NPO	London	London	Dance	Yes	366e3	367203.375	382569.149834508	1115772.524834508	32e4	32e4	32e4	96e4	GIA	-0.16354990950413598	-0.13960957217297704	-0.1750985300829743	-0.18055025308184983		Greenwich	www.greenwichdance.org.uk
Greenwich+Docklands Festivals	Greenwich+Docklands International Festival	NPO	London	London	Combined arts	Yes	25e4	250432.70175	251449.40239104	751882.10414104	251449	251449	251449	754347	GIA	-1.6002863246953593E-6	3.2783010067461609E-3	-1.3808284306040223E-2	-4.4718291939305765E-2		Greenwich	www.festival.org
Grizedale Arts	n/a	NPO	North	North West	Visual arts	Yes	162616	162897.292404	163558.0619264676	489071.35433046764	197693	197693	197693	593079	GIA	0.20870226555312676	0.21266354029652274	0.19201406859282719	0.15464997235505532		South Lakeland	www.grizedale.org
hAb	hÅb + Word of Warning	NPO	North	North West	Combined arts	Yes	7e4	70121.15649	70405.8326694912	210526.9891594912	70406	70406	70406	211218	GIA	2.3766569112221718E-6	3.2822909939841456E-3	-1.3804362271290876E-2	-4.4714492832098822E-2		Manchester	www.habarts.org
Hackney Empire Ltd	n/a	NPO	London	London	Theatre	Yes	366391	367025.158962	368514.2398311948	1101930.3987931947	368514	368514	368514	1105542	GIA	-6.5080577324584904E-7	3.2775220746797213E-3	-1.3807347934687597E-2	-4.4719050729910968E-2		Hackney	www.hackneyempire.co.uk
Half Moon Young People's Theatre	Half Moon	NPO	London	London	Theatre	Yes	216198	216572.633739	217451.02835357157	650221.6620925716	217451	217451	217451	652353	GIA	-1.3039060696250248E-7	3.2778635835804411E-3	-1.3806834704740627E-2	-4.4718720610159475E-2		Tower Hamlets	www.halfmoon.org.uk
Halle Concerts Society	n/a	NPO	North	North West	Music	Yes	2071667	2075252.321835	2083674.186921953	6230593.508756953	2083674	2083674	2083674	6251022	GIA	-8.9707860357448718E-8	3.2787392106923591E-3	-1.3806794583688702E-2	-4.4717885934382931E-2		Manchester	www.halle.co.uk
Hampstead Theatre	n/a	NPO	London	London	Theatre	Yes	869567	871072.012503	874606.9503227615	2615245.9628257616	874607	874607	874607	2623821	GIA	5.6799501115390103E-8	3.2788645106914031E-3	-1.3806650099111428E-2	-4.4717766456565979E-2		Camden	www.hampsteadtheatre.com
Harrogate Theatre	Harrogate White Rose (Theatre) Trust Ltd.	NPO	North	Yorkshire	Theatre	Yes	139961	140340.23387999999	140909.40862802157	421210.64250802156	140909	140909	140909	422727	GIA	-2.8999342595307744E-6	3.5999980507367322E-3	-1.3809566010117978E-2	-4.4405482210160281E-2		Harrogate	www.harrogatetheatre.co.uk
Havering Theatre Trust	Queen's Theatre, Hornchurch	NPO	London	London	Theatre	Yes	275436	275912.699139	277032.27089574124	828380.9700347411	277032	277032	277032	831096	GIA	-9.7784904395345724E-7	3.2775136844887171E-3	-1.380767046256803E-2	-4.4719055943741717E-2		Havering	www.queens-theatre.co.uk
Headlong Theatre Ltd	Oxford Stage Company	NPO	London	London	Theatre	Yes	675876.4	677046.645198	679794.0343247004	2032717.0795227005	679794	679794	679794	2039382	LOT	-5.0492794330192688E-8	3.2788234744721414E-3	-1.3806755910053529E-2	-4.4717802552132535E-2		Westminster	www.headlongtheatre.co.uk
Heads Together Productions	n/a	NPO	North	Yorkshire	Combined arts	Yes	46292	46417.444227	46605.34178844601	139314.786015446	46605	46605	46605	139815	GIA	-7.3336753447340668E-6	3.5905304731870587E-3	-1.3813938535842995E-2	-4.441454579571686E-2		Kirklees	www.headstogether.org
Heart'n Soul	Heart n Soul	NPO	London	London	Combined arts	Yes	257901.1	258347.64809700003	259395.35682940314	775644.1049264031	259395	259395	259395	778185	GIA	-1.3756198549752257E-6	3.2758517178931518E-3	-1.3808062741474322E-2	-4.4720648366932167E-2		Lewisham	www.heartnsoul.co.uk
Helix Arts	n/a	NPO	North	North East	Combined arts	Yes	107612	107903.935755	108341.72802717601	323857.663782176	108342	108342	108342	325026	GIA	2.5103238515976619E-6	3.6075608160066079E-3	-1.3804230449850503E-2	-4.439824896066967E-2		Newcastle upon Tyne	www.helixarts.com
Higher Rhythm Ltd	n/a	NPO	North	Yorkshire	Music	Yes	67300	67504.71004199999	42676.444876086	177481.154918086	54e3	54e3	54e3	162e3	GIA	0.26533501459160241	-8.7227035034965289E-2	0.24786490590887827	-0.13342746250035989		Doncaster	www.higherrhythm.co.uk
